"","species","speciesDBR_all","genusDBR_all","familyDBR_all","orderDBR_all","classDBR_all","speciesDBR_dom","genusDBR_dom","familyDBR_dom","orderDBR_dom","classDBR_dom","speciesDBR_per","genusDBR_per","familyDBR_per","orderDBR_per","classDBR_per","speciesDBR_syl","genusDBR_syl","familyDBR_syl","orderDBR_syl","classDBR_syl","Domiciliary","Peridomiciliary","Sylvatic"
"38","Triatoma indictiva",3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
"39","Triatoma infestans",31,26,22,15,4,17,15,15,13,4,22,19,15,12,3,22,19,18,12,3,1,1,1
"40","Triatoma juazeirensis",4,4,4,3,2,3,3,3,3,2,3,3,3,2,2,NA,NA,NA,NA,NA,1,1,0
"41","Triatoma lecticularia",6,6,5,5,2,3,3,2,2,2,4,4,4,4,2,1,1,1,1,1,1,1,1
"42","Triatoma lenti",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1
"43","Triatoma longipennis",21,19,14,9,3,2,2,2,2,1,10,9,9,8,2,13,12,10,7,2,1,1,1
"44","Triatoma maculata",19,18,16,13,4,12,12,11,9,2,5,5,6,7,4,8,7,7,8,4,1,1,1
"45","Triatoma melanica",1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,0,1,0
"46","Triatoma melanocephala",2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,1,1,0
"47","Triatoma petrocchiae",8,7,7,5,3,4,4,4,4,2,4,4,4,4,2,4,3,3,2,2,1,1,1
"48","Triatoma phyllosoma",9,9,8,6,2,8,8,7,6,2,9,9,8,6,2,NA,NA,NA,NA,NA,1,1,0
"49","Triatoma platensis",1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,0,1,0
"50","Triatoma protracta",7,6,6,6,2,2,1,1,1,1,5,5,5,5,1,5,5,5,5,2,1,1,1
"51","Triatoma pseudomaculata",12,11,12,9,4,12,11,12,9,4,11,10,11,9,4,NA,NA,NA,NA,NA,1,1,0
"52","Triatoma recurva",3,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,1,0,0,1
"53","Triatoma rubida",14,13,10,7,2,7,7,7,6,2,10,9,7,4,1,NA,NA,NA,NA,NA,1,1,0
"54","Triatoma rubrofasciata",10,10,10,7,2,10,10,10,7,2,8,8,8,6,2,NA,NA,NA,NA,NA,1,1,0
"55","Triatoma rubrovaria",19,16,15,10,4,16,15,14,10,4,19,16,15,10,4,16,15,14,10,4,1,1,1
"56","Triatoma sanguisuga",27,22,19,12,5,21,16,15,10,4,22,18,16,9,4,6,6,6,5,4,1,1,1
"57","Triatoma sherlocki",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1
"58","Triatoma sordida",16,14,15,13,4,11,10,11,12,4,14,13,13,12,4,8,7,12,10,3,1,1,1
"59","Triatoma tibiamaculata",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"60","Triatoma venosa",10,10,10,9,2,10,10,10,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"61","Triatoma vitticeps",12,11,11,9,2,10,10,11,9,2,8,8,8,7,2,3,3,3,3,1,1,1,1
