"longitude","latitude","genus","species","country"
-61.57586,-26.91725,"Rhodnius","Psammolestes coreodes","AR"
-64.4167,-23.55,"Rhodnius","Psammolestes coreodes","AR"
-63.6333,-22.4167,"Rhodnius","Psammolestes coreodes","AR"
-64.316983,-26.100356,"Rhodnius","Psammolestes coreodes","AR"
-63.521657,-22.349252,"Rhodnius","Psammolestes coreodes","AR"
-60.593454,-24.705308,"Rhodnius","Psammolestes coreodes","AR"
-61.25001,-29.016667,"Rhodnius","Psammolestes coreodes","AR"
-59.933333,-29.233333,"Rhodnius","Psammolestes coreodes","AR"
-64.4167,-23.55,"Rhodnius","Psammolestes coreodes","AR"
-59.970221,-29.349133,"Rhodnius","Psammolestes coreodes","AR"
-64.45,-22.8833,"Rhodnius","Psammolestes coreodes","AR"
-65.116667,-28.783333,"Rhodnius","Psammolestes coreodes","AR"
-61.2,-27.216667,"Rhodnius","Psammolestes coreodes","AR"
-60.619863,-25.947114,"Rhodnius","Psammolestes coreodes","AR"
-56.43013,-22.18931,"Rhodnius","Psammolestes coreodes","PY"
-57.9653,-21.51019,"Rhodnius","Psammolestes coreodes","PY"
-58.839583,-27.471225,"Rhodnius","Psammolestes coreodes","AR"
-64.741111,-26.498056,"Rhodnius","Psammolestes coreodes","AR"
-63.71669,-29.90001,"Rhodnius","Psammolestes coreodes","AR"
-63.71669,-29.90001,"Rhodnius","Psammolestes coreodes","AR"
-62.98329,-29.96667,"Rhodnius","Psammolestes coreodes","AR"
-62.98329,-29.96667,"Rhodnius","Psammolestes coreodes","AR"
-63.71669,-29.90001,"Rhodnius","Psammolestes coreodes","AR"
-63.71669,-29.90001,"Rhodnius","Psammolestes coreodes","AR"
-63.297505,-29.938175,"Rhodnius","Psammolestes coreodes","AR"
-62.966671,-30.16667,"Rhodnius","Psammolestes coreodes","AR"
-63.430054,-27.933334,"Rhodnius","Psammolestes coreodes","AR"
-65.019585,-27.281313,"Rhodnius","Psammolestes coreodes","AR"
-65.689115,-27.338207,"Rhodnius","Psammolestes coreodes","AR"
-65.247432,-27.645865,"Rhodnius","Psammolestes coreodes","AR"
-65.586269,-27.772167,"Rhodnius","Psammolestes coreodes","AR"
-64.775365,-26.423467,"Rhodnius","Psammolestes coreodes","AR"
-65.576554,-27.30453,"Rhodnius","Psammolestes coreodes","AR"
-55.786,-20.475,"Rhodnius","Psammolestes coreodes","BR"
-58.073572,-29.184583,"Rhodnius","Psammolestes coreodes","AR"
-58.073572,-29.184582,"Rhodnius","Psammolestes coreodes","AR"
-57.616653,-27.750014,"Rhodnius","Psammolestes coreodes","AR"
-57.616653,-27.750014,"Rhodnius","Psammolestes coreodes","AR"
-57.883296,-28.383309,"Rhodnius","Psammolestes coreodes","AR"
-58.839583,-27.471225,"Rhodnius","Psammolestes coreodes","AR"
-58.839583,-27.471225,"Rhodnius","Psammolestes coreodes","AR"
-56.6,-20.1,"Rhodnius","Psammolestes coreodes","BR"
-56.364,-20.243,"Rhodnius","Psammolestes coreodes","BR"
-56.378333,-20.240556,"Rhodnius","Psammolestes coreodes","BR"
